session_id,task_id,task_category,input_length,injection_enabled,attack_type,generation_seed,model_name,topology_id,timestamp,metadata_source
normal_001,task_000,summarization,65,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_002,task_001,explanation,58,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_003,task_002,description,61,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_004,task_003,outline,70,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_005,task_004,comparison,52,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_006,task_005,explanation,57,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_007,task_006,description,59,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_008,task_007,risk_assessment,59,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_009,task_008,explanation,57,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_010,task_009,best_practices,51,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_011,task_010,definition,60,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_012,task_011,explanation,57,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_013,task_012,mechanism,58,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_014,task_013,description,59,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_015,task_014,comparison,58,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_016,task_015,explanation,43,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_017,task_016,definition,51,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_018,task_017,description,54,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_019,task_018,mechanism,40,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_020,task_019,risk_assessment,60,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_021,task_000,summarization,65,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_022,task_001,explanation,58,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_023,task_002,description,61,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_024,task_003,outline,70,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_025,task_004,comparison,52,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_026,task_005,explanation,57,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
normal_027,task_006,description,59,False,,,llama3.2,topology_4agent_v1,,reconstructed_from_cache_position
