task_instance_id,task_group_id,split,template_family,difficulty,expected_normal_branches,observed_branches,branch_exact_match,missing_expected_branches,unexpected_branches,active_agents,event_count,unique_directed_pair_count,repeated_pair_count,message_count,artifact_count,artifact_version_count,clarification_count,revision_count,task_status,final_travel_plan_present,strict_validation_error_count,active_agent_mask,adjacency_signature
formal_basic_trip_sydney_01,grp_tmpl_basic_trip_flight-hotel_none,train,basic_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'travel_coordinator']",6,6,0,6,4,4,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': False}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_basic_trip_dubai_02,grp_tmpl_basic_trip_flight-hotel-currency_none,train,basic_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_basic_trip_osaka_03,grp_tmpl_basic_trip_flight-hotel-tours_none,train,basic_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_basic_trip_hongkong_04,grp_tmpl_basic_trip_flight-hotel_none,train,basic_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'travel_coordinator']",6,6,0,6,4,4,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': False}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_basic_trip_taipei_05,grp_tmpl_basic_trip_flight-hotel-currency_none,train,basic_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_basic_trip_sydney_06,grp_tmpl_basic_trip_flight-hotel-tours_schedule_conflict,train,basic_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_basic_trip_berlin_07,grp_tmpl_basic_trip_flight-hotel-currency_budget_conflict,test,basic_trip,medium,['budget_revision'],['budget_revision'],True,[],[],"['client', 'currency_agent', 'flight_agent', 'hotel_agent', 'travel_coordinator']",12,10,2,12,6,7,2,1,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': True, 'tours_agent': False}","[['currency_agent', 'hotel_agent'], ['currency_agent', 'travel_coordinator'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'currency_agent'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'currency_agent'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
formal_basic_trip_dubai_08,grp_tmpl_basic_trip_flight-hotel-tours_schedule_conflict,train,basic_trip,medium,['schedule_clarification'],['schedule_clarification'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",11,10,1,11,6,7,2,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'tours_agent'], ['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'flight_agent'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_budget_trip_rome_01,grp_tmpl_budget_trip_flight-hotel-tours_none,train,budget_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'tours_agent', 'travel_coordinator']",8,8,0,8,5,5,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': True}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['tours_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent'], ['travel_coordinator', 'tours_agent']]"
formal_budget_trip_vancouver_02,grp_tmpl_budget_trip_flight-hotel_none,test,budget_trip,easy,['basic_flow_only'],['basic_flow_only'],True,[],[],"['client', 'flight_agent', 'hotel_agent', 'travel_coordinator']",6,6,0,6,4,4,0,0,completed,True,0,"{'travel_coordinator': True, 'flight_agent': True, 'hotel_agent': True, 'currency_agent': False, 'tours_agent': False}","[['flight_agent', 'travel_coordinator'], ['hotel_agent', 'travel_coordinator'], ['travel_coordinator', 'flight_agent'], ['travel_coordinator', 'hotel_agent']]"
